server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,8,30266.8,375.59,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,9,30449.3,374.84,4107,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,10,30034.4,373.31,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,11,30313.8,375.28,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,12,30237.9,375.41,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,13,30392.3,376.03,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,14,30275.8,375.9,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,0,27691.6,365.8,4105,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,1,29651.3,374.53,4107,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,2,30591.6,377.47,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,3,30573.3,377.63,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,4,30562.0,376.8,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,5,30564.2,376.54,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,6,30591.6,377.43,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,7,30516.5,377.16,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,8,30478.0,375.79,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,9,30505.2,378.07,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,10,30573.3,377.03,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,11,30525.6,376.4,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,12,30475.8,376.67,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,13,30354.1,376.91,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,14,30429.9,376.8,4105,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,0,25161.1,343.35,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,1,33079.2,361.3,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,2,33118.0,361.54,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,3,33087.3,362.73,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,4,33104.6,362.69,8201,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,5,33099.3,362.11,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,6,33104.6,362.81,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,7,33119.3,362.52,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,8,33073.9,361.38,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,9,33126.0,361.95,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,10,33006.0,362.69,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,11,32978.1,360.93,8200,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,12,33051.3,362.52,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,13,33122.0,363.26,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,14,33028.6,362.4,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,0,31512.4,355.58,8203,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,1,33290.0,363.51,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,2,32809.3,363.74,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,3,33265.7,357.58,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,4,32968.9,362.81,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,5,33201.1,363.29,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,6,33183.6,362.87,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,7,33202.5,362.77,8203,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,8,33147.4,362.32,8201,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,9,32912.0,363.35,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,10,33197.1,362.85,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,11,33146.1,363.18,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,12,33219.9,363.14,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,13,33224.0,364.26,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,14,33096.6,362.36,8201,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,0,12834.5,229.57,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,1,21161.3,243.59,1035,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,2,21444.8,242.53,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,3,21277.5,245.59,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,4,21875.0,245.04,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,5,21760.1,247.2,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,6,21682.7,243.12,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,7,21673.6,243.62,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,8,21944.5,243.68,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,9,21805.9,244.05,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,10,21875.0,248.91,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,11,21972.4,242.53,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,12,21819.7,244.84,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,13,21810.5,247.68,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,14,21614.9,239.34,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,0,17206.4,236.48,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,1,21126.8,241.02,1035,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,2,21186.1,241.54,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,3,21467.1,259.4,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,4,21453.7,229.33,1036,64,,
