ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-12T17:55:16Z,65,71,31,4280,0,1040,2424,0.53
2026-09-12T17:55:18Z,72,71,31,4261,100,1600,2424,0.53
2026-09-12T17:55:20Z,71,71,31,4261,99,1600,2410,0.53
2026-09-12T17:55:22Z,68,71,31,4261,99,1339,2425,0.57
2026-09-12T17:55:24Z,72,71,31,4271,99,1600,1702,0.57
2026-09-12T17:55:26Z,68,71,31,4261,100,1426,2424,0.60
2026-09-12T17:55:28Z,68,72,31,4261,4,1330,2426,0.60
2026-09-12T17:55:30Z,71,71,31,4261,99,1600,2424,0.60
2026-09-12T17:55:32Z,64,72,31,4261,100,1040,2424,0.55
2026-09-12T17:55:34Z,74,72,31,4261,99,1600,2424,0.55
2026-09-12T17:55:36Z,71,72,31,4261,100,1600,2425,0.51
2026-09-12T17:55:38Z,69,72,31,4271,99,1368,2424,0.51
2026-09-12T17:55:40Z,74,72,31,4261,100,1386,2424,0.47
2026-09-12T17:55:42Z,69,72,31,4280,99,1600,2425,0.47
2026-09-12T17:55:44Z,68,72,31,4261,100,1350,2424,0.47
2026-09-12T17:55:46Z,61,72,31,4261,0,200,2424,0.43
2026-09-12T17:55:48Z,60,70,31,4261,0,200,2424,0.43
2026-09-12T17:55:50Z,58,68,31,4261,0,200,2424,0.48
2026-09-12T17:55:53Z,63,67,31,4261,100,1040,2425,0.48
2026-09-12T17:55:55Z,69,69,31,4194,100,1464,2425,0.48
2026-09-12T17:55:57Z,65,70,31,3922,100,1040,2425,0.44
2026-09-12T17:55:59Z,71,71,31,3930,100,1600,1702,0.44
2026-09-12T17:56:01Z,65,72,31,3930,100,1209,2424,0.40
2026-09-12T17:56:03Z,73,73,31,3930,100,1600,1702,0.40
2026-09-12T17:56:05Z,72,72,31,4120,100,1600,1544,0.40
2026-09-12T17:56:07Z,72,73,31,4120,99,1511,1702,0.37
2026-09-12T17:56:09Z,71,73,31,4166,99,1389,1702,0.37
2026-09-12T17:56:11Z,74,74,31,4261,100,1489,1702,0.34
2026-09-12T17:56:13Z,75,73,31,4380,99,1464,1702,0.34
2026-09-12T17:56:15Z,76,74,31,4464,99,1387,1702,0.31
2026-09-12T17:56:17Z,74,73,31,4595,99,1451,1702,0.31
2026-09-12T17:56:19Z,69,75,31,4595,100,1276,2424,0.31
2026-09-12T17:56:21Z,72,74,31,4664,100,1600,1702,0.37
2026-09-12T17:56:24Z,69,75,31,4687,100,1249,2424,0.37
2026-09-12T17:56:26Z,74,74,31,4664,100,1600,1702,0.34
2026-09-12T17:56:28Z,67,75,31,4687,100,1194,2424,0.34
2026-09-12T17:56:30Z,76,74,31,4652,99,1410,1702,0.34
2026-09-12T17:56:32Z,67,75,31,4687,99,1122,2425,0.31
2026-09-12T17:56:34Z,75,74,31,4664,100,1423,1702,0.31
2026-09-12T17:56:36Z,68,75,31,4687,99,1120,2424,0.29
2026-09-12T17:56:38Z,75,74,31,4687,99,1356,1702,0.29
2026-09-12T17:56:40Z,67,75,31,4687,99,1091,2424,0.29
2026-09-12T17:56:42Z,75,74,31,4687,99,1464,1399,0.34
2026-09-12T17:56:44Z,68,75,31,4687,100,1090,2424,0.34
2026-09-12T17:56:46Z,74,74,31,4687,100,1600,1702,0.32
2026-09-12T17:56:48Z,66,75,31,4687,100,1040,2425,0.32
2026-09-12T17:56:50Z,76,74,31,4687,99,1354,1702,0.29
2026-09-12T17:56:52Z,67,75,31,4687,0,200,2424,0.29
2026-09-12T17:56:54Z,60,73,31,4722,0,200,2424,0.29
2026-09-12T17:56:56Z,59,71,31,4687,0,200,2425,0.35
2026-09-12T17:56:59Z,58,69,31,4687,0,200,2424,0.35
2026-09-12T17:57:01Z,57,67,31,4443,0,200,2425,0.40
2026-09-12T17:57:03Z,64,66,31,4360,100,1600,1702,0.40
2026-09-12T17:57:05Z,62,66,31,3750,87,1040,2424,0.40
2026-09-12T17:57:07Z,64,66,31,3662,99,1600,2083,0.45
2026-09-12T17:57:09Z,61,67,31,3662,20,1040,2424,0.45
2026-09-12T17:57:11Z,68,67,31,3662,100,1600,2424,0.65
2026-09-12T17:57:13Z,63,68,31,3662,100,1040,2424,0.65
2026-09-12T17:57:15Z,68,67,31,3662,100,1600,2424,0.65
2026-09-12T17:57:17Z,63,68,31,3654,100,200,2424,0.92
2026-09-12T17:57:19Z,67,68,31,3662,99,1256,2424,0.92
2026-09-12T17:57:21Z,63,69,31,3662,99,1040,2424,0.85
2026-09-12T17:57:23Z,69,68,31,3640,99,1600,1702,0.85
2026-09-12T17:57:25Z,64,69,31,3662,100,200,2424,1.10
2026-09-12T17:57:27Z,70,69,31,3640,99,1600,1702,1.10
2026-09-12T17:57:29Z,64,69,31,3640,99,1040,2424,1.10
2026-09-12T17:57:31Z,70,69,31,3640,99,1600,1702,1.01
2026-09-12T17:57:33Z,62,70,31,3640,99,1040,2424,1.01
2026-09-12T17:57:35Z,70,70,31,3640,99,1600,1702,0.93
2026-09-12T17:57:38Z,65,70,31,3640,99,1040,2424,0.93
2026-09-12T17:57:40Z,71,70,31,3640,100,1600,1702,0.93
2026-09-12T17:57:42Z,65,70,31,3922,100,1455,2424,0.94
2026-09-12T17:57:44Z,72,70,31,3930,100,1600,1400,0.94
2026-09-12T17:57:46Z,71,70,31,3906,99,1600,2425,1.10
2026-09-12T17:57:48Z,68,71,31,3906,100,1062,2424,1.10
2026-09-12T17:57:50Z,69,70,31,3906,100,1600,2424,1.10
2026-09-12T17:57:52Z,66,71,31,3922,99,1040,2424,1.01
2026-09-12T17:57:54Z,71,70,31,3906,99,1600,2424,1.01
2026-09-12T17:57:56Z,65,71,31,3922,0,1040,2424,0.93
2026-09-12T17:57:58Z,70,70,31,3922,99,1600,2424,0.93
2026-09-12T17:58:00Z,66,71,31,3906,99,1040,2426,1.26
2026-09-12T17:58:02Z,60,70,31,3906,0,200,2424,1.26
2026-09-12T17:58:04Z,59,68,31,3922,0,200,2759,1.26
2026-09-12T17:58:06Z,58,68,31,3906,0,200,2424,1.16
2026-09-12T17:58:08Z,59,66,31,3881,99,1040,2425,1.16
2026-09-12T17:58:10Z,71,68,31,3803,99,1449,1702,1.06
2026-09-12T17:58:12Z,62,70,31,3810,99,1040,2424,1.06
2026-09-12T17:58:14Z,72,70,31,3803,100,1600,1702,1.06
2026-09-12T17:58:17Z,63,72,31,3803,100,1040,2424,0.98
2026-09-12T17:58:19Z,71,71,31,3826,100,1600,1702,0.98
2026-09-12T17:58:21Z,64,73,31,3810,99,200,2424,0.98
2026-09-12T17:58:23Z,74,71,31,3803,99,1376,1702,0.98
2026-09-12T17:58:25Z,65,73,31,4006,99,1040,2424,0.98
