server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,6,702.4,61.24,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,7,699.3,61.3,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,8,702.9,60.25,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,9,701.7,60.93,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,10,702.2,61.12,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,11,701.9,60.43,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,12,700.5,61.26,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,13,702.4,61.73,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,14,699.8,60.49,8202,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,0,642.2,47.94,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,1,681.7,50.64,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,2,680.8,51.01,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,3,679.4,50.38,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,4,678.0,51.04,1035,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,5,680.5,51.44,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,6,681.9,50.32,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,7,676.2,49.86,1037,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,8,680.5,50.99,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,9,679.7,50.38,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,10,681.0,50.22,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,11,680.7,50.73,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,12,680.1,50.82,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,13,681.1,52.74,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,14,679.0,50.63,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,0,645.0,46.65,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,1,682.0,50.89,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,2,680.0,48.97,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,3,681.7,49.13,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,4,682.1,49.34,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,5,681.4,49.49,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,6,678.6,48.93,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,7,680.2,49.42,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,8,678.3,49.08,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,9,678.8,49.35,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,10,680.4,49.34,1035,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,11,677.2,49.16,1037,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,12,682.5,49.46,1035,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,13,679.5,49.85,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,14,680.7,48.92,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,0,687.5,49.01,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,1,710.2,47.26,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,2,704.7,46.93,2061,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,3,709.2,49.51,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,4,709.9,49.31,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,5,709.8,49.84,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,6,710.4,49.33,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,7,708.3,49.3,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,8,709.3,49.87,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,9,710.1,49.32,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,10,708.0,49.33,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,11,707.7,49.3,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,12,710.0,49.19,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,13,709.5,49.93,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,14,709.6,49.31,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,0,686.9,47.27,2060,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,1,712.4,48.5,2060,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,2,708.7,46.11,2061,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,3,709.9,46.16,2060,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,4,710.4,48.43,2060,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,5,710.0,48.41,2061,64,,
